iter	Passed	Remaining
365	486	842
366	487	840
367	490	842
368	492	841
369	493	840
370	494	838
371	495	836
372	496	834
373	497	832
374	497	829
375	498	827
376	499	826
377	500	823
378	502	822
379	504	823
380	506	822
381	507	821
382	508	819
383	509	817
384	510	815
385	511	813
386	512	811
387	513	809
388	514	807
389	515	805
390	516	803
391	517	802
392	519	802
393	521	802
394	522	800
395	524	799
396	525	797
397	526	795
398	527	794
399	528	792
400	528	790
401	529	788
402	531	787
403	534	788
404	535	787
405	537	786
406	538	784
407	539	783
408	540	781
409	542	780
410	543	778
411	544	777
412	546	776
413	547	774
414	548	773
415	550	772
416	551	771
417	552	769
418	553	767
419	554	765
420	555	763
421	556	761
422	556	759
423	558	758
424	559	756
425	560	755
426	562	754
427	564	754
428	565	753
429	567	752
430	569	751
431	570	750
432	571	748
433	572	746
434	573	744
435	574	742
436	574	740
437	578	741
438	579	740
439	580	739
440	582	737
441	583	736
442	584	734
443	585	732
444	586	731
445	587	729
446	588	727
447	588	725
448	590	724
449	592	724
450	593	722
451	595	721
452	596	719
453	597	718
454	598	716
455	598	714
456	599	712
457	600	710
458	601	708
459	602	707
460	603	705
461	604	704
462	606	703
463	608	702
464	609	701
465	610	699
466	611	698
467	612	696
468	613	694
469	614	693
470	615	691
471	616	689
472	617	687
473	618	686
474	619	685
475	622	685
476	624	684
477	625	683
478	626	681
479	628	680
480	629	678
481	630	677
482	631	676
483	633	674
484	634	673
485	635	672
486	637	671
487	638	670
488	639	668
489	641	667
490	642	665
491	643	664
492	644	663
493	646	662
494	647	660
495	650	661
496	652	660
497	653	658
498	654	657
499	656	656
500	657	654
501	658	653
502	660	652
503	661	651
504	663	650
505	664	649
506	667	649
507	669	648
508	670	646
509	672	645
510	673	644
511	675	643
512	676	642
513	680	643
514	682	642
515	683	641
516	685	640
517	686	638
518	687	637
519	688	635
520	689	634
521	691	632
522	694	633
523	695	632
524	697	631
525	699	629
526	700	628
527	701	627
528	702	625
529	703	623
530	704	622
531	706	621
532	708	621
533	711	621
534	713	619
535	714	618
536	715	616
537	716	615
538	717	613
539	718	612
540	719	610
541	721	609
542	724	609
543	726	608
544	727	607
545	728	605
546	730	604
547	731	603
548	732	601
549	734	600
550	737	600
551	738	599
552	740	598
553	741	597
554	743	595
555	744	594
556	746	593
557	747	592
558	748	590
559	750	589
560	756	592
561	758	591
562	759	589
563	761	588
564	762	587
565	764	586
566	765	584
567	767	583
568	768	582
569	770	581
570	771	579
571	772	578
572	774	576
573	775	575
574	776	574
575	777	572
576	779	571
577	780	570
578	782	568
579	784	568
580	785	566
581	787	565
582	789	564
583	792	564
584	793	562
585	795	561
586	796	560
587	797	559
588	799	557
589	800	556
590	801	554
591	802	553
592	803	551
593	805	550
594	806	548
595	807	547
596	808	545
597	810	544
598	811	543
599	813	542
600	814	540
601	816	539
602	817	537
603	818	536
604	819	534
605	820	533
606	821	531
607	822	530
608	832	534
609	833	533
610	834	531
611	836	530
612	837	528
613	838	527
614	841	526
615	842	525
616	843	523
617	844	522
618	845	520
619	846	518
620	848	517
621	849	516
622	850	514
623	851	512
624	852	511
625	853	509
626	857	509
627	858	508
628	859	507
629	861	505
630	862	504
631	863	502
632	864	501
633	865	499
634	866	497
635	867	496
636	868	495
637	870	493
638	871	492
639	872	490
640	873	489
641	874	487
642	875	485
643	876	484
644	877	483
645	878	481
646	880	480
647	881	478
648	882	477
649	883	475
650	885	474
651	886	472
652	887	471
653	888	469
654	889	468
655	890	467
656	891	465
657	893	464
658	894	462
659	895	461
660	896	459
661	897	458
662	899	457
663	900	455
664	902	454
665	903	453
666	904	451
667	905	450
668	907	448
669	908	447
670	909	446
671	911	444
672	914	444
673	915	442
674	916	441
675	918	440
676	919	438
677	921	437
678	922	436
679	924	434
680	925	433
681	928	432
682	929	431
683	931	430
684	932	428
685	934	427
686	935	426
687	937	425
688	939	423
689	940	422
690	943	422
691	944	420
692	946	419
693	948	418
694	949	416
695	951	415
696	952	413
697	954	413
698	965	415
699	967	414
700	969	413
701	971	412
702	975	411
703	978	411
704	980	410
705	984	409
706	985	408
707	987	407
708	989	405
709	990	404
710	992	403
711	993	401
712	995	400
713	996	399
714	997	397
715	999	396
716	1001	395
717	1002	393
718	1004	392
719	1005	391
720	1007	389
721	1008	388
722	1010	386
723	1012	386
724	1014	384
725	1015	383
726	1017	382
727	1019	381
728	1021	379
729	1023	378
730	1025	377
731	1027	376
732	1029	374
733	1031	373
734	1034	372
735	1036	371
736	1038	370
737	1040	369
738	1041	367
739	1043	366
740	1047	366
741	1049	364
742	1050	363
743	1052	362
744	1053	360
745	1055	359
746	1056	357
747	1059	356
748	1063	356
749	1064	354
750	1067	354
751	1071	353
752	1076	353
753	1078	351
754	1079	350
755	1081	349
756	1082	347
757	1084	346
758	1085	344
759	1087	343
760	1089	342
761	1090	340
762	1094	339
763	1095	338
764	1097	337
765	1098	335
766	1100	334
767	1101	332
768	1103	331
769	1106	330
770	1108	329
771	1109	327
772	1110	326
773	1112	324
774	1113	323
775	1115	321
776	1116	320
777	1122	320
778	1124	318
779	1125	317
780	1127	316
781	1128	314
782	1130	313
783	1131	311
784	1134	310
785	1137	309
786	1138	308
787	1139	306
788	1141	305
789	1142	303
790	1143	302
791	1144	300
792	1145	299
793	1147	297
794	1149	296
795	1151	295
796	1152	293
797	1154	292
798	1155	290
799	1157	289
800	1159	287
801	1160	286
802	1161	285
803	1163	283
804	1165	282
805	1166	280
806	1167	279
807	1168	277
808	1169	276
809	1170	274
810	1172	273
811	1173	271
812	1174	270
813	1175	268
814	1176	266
815	1177	265
816	1179	264
817	1181	262
818	1182	261
819	1183	259
820	1184	258
821	1185	256
822	1186	255
823	1187	253
824	1189	252
825	1190	250
826	1192	249
827	1194	248
828	1196	246
829	1198	245
830	1199	244
831	1201	242
832	1202	241
833	1203	239
834	1204	237
835	1205	236
836	1207	235
837	1208	233
838	1210	232
839	1211	230
840	1212	229
841	1214	227
842	1215	226
843	1216	224
844	1217	223
845	1218	221
846	1220	220
847	1222	219
848	1223	217
849	1225	216
850	1226	214
851	1228	213
852	1229	211
853	1230	210
854	1231	208
855	1232	207
856	1233	205
857	1237	204
858	1239	203
859	1240	201
860	1241	200
861	1243	199
862	1245	197
863	1246	196
864	1247	194
865	1248	193
866	1250	191
867	1252	190
868	1254	189
869	1255	187
870	1256	186
871	1258	184
872	1259	183
873	1260	181
874	1261	180
875	1262	178
876	1263	177
877	1264	175
878	1267	174
879	1268	173
880	1269	171
881	1271	170
882	1272	168
883	1273	167
884	1274	165
885	1276	164
886	1277	162
887	1278	161
888	1280	159
889	1282	158
890	1283	157
891	1284	155
892	1286	154
893	1287	152
894	1288	151
895	1289	149
896	1290	148
897	1291	146
898	1292	145
899	1294	143
900	1296	142
901	1297	140
902	1298	139
903	1299	138
904	1300	136
905	1301	135
906	1302	133
907	1303	132
908	1304	130
909	1306	129
910	1307	127
911	1309	126
912	1310	124
913	1312	123
914	1313	121
915	1314	120
916	1315	119
917	1316	117
918	1317	116
919	1318	114
920	1320	113
921	1321	111
922	1323	110
923	1324	108
924	1326	107
925	1327	106
926	1329	104
927	1330	103
928	1332	101
929	1333	100
930	1335	98
931	1337	97
932	1339	96
933	1340	94
934	1342	93
935	1343	91
936	1344	90
937	1345	88
938	1346	87
939	1347	86
940	1348	84
941	1349	83
942	1351	81
943	1353	80
944	1355	78
945	1356	77
946	1357	75
947	1358	74
948	1359	73
949	1360	71
950	1361	70
951	1363	68
952	1364	67
953	1365	65
954	1367	64
955	1369	63
956	1370	61
957	1371	60
958	1372	58
959	1373	57
960	1374	55
961	1375	54
962	1376	52
963	1377	51
964	1379	50
965	1380	48
966	1381	47
967	1383	45
968	1385	44
969	1386	42
970	1387	41
971	1388	39
972	1389	38
973	1390	37
974	1391	35
975	1392	34
976	1393	32
977	1394	31
978	1397	29
979	1398	28
980	1400	27
981	1401	25
982	1402	24
983	1403	22
984	1404	21
985	1405	19
986	1406	18
987	1407	17
988	1409	15
989	1412	14
990	1415	12
991	1416	11
992	1417	9
993	1419	8
994	1420	7
995	1421	5
996	1423	4
997	1426	2
998	1428	1
999	1429	0
